MouseID,Total # (TJV),Average Baseline,Baseline Fraction,1S,2S,3S,4S,6S,7S,8S,9S,10S,11S,Wavg Base,1W,2W,3W,4W,6W,7W,8W,9W,10W,11W
b3,989,334,0.338,312,414,277,240,10,10,31,56,NaN,139,241.6666667,192,263,270,239,4,14,24,39,NaN,57
b7,794,92,0.115,124,86,65,9,11,14,26,60,NaN,NaN,86.33333333,122,73,64,15,16,36,27,41,6,NaN
b8,974,154,0.158,208,129,126,110,NaN,NaN,77,104,368,140,152.5,212,NaN,93,81,NaN,NaN,65,90,50,52
b11,1322,550,0.416,478,475,698,641,154,403,68,334,187,293,420.3333333,365,381,515,547,222,337,139,323,137,259
b12,1149,249,0.216,387,136,223,80,NaN,NaN,114,223,271,260,138,233,40,141,170,NaN,NaN,50,114,170,124
c1,1020,142,0.139,152,117,156,41,80,127,NaN,75,126,81,150.6666667,173,119,160,70,75,52,NaN,38,94,32
ge0,509,41,0.08,43,NaN,38,16,8,NaN,9,NaN,6,45,47.33333333,34,38,70,NaN,10,43,9,NaN,22,24
ge1,1414,173,0.123,172,175,173,81,35,45,98,94,95,157,178.3333333,225,221,89,15,9,62,66,66,67,70
,,,MouseID,,,,,,,,,,,,,,,,,,,,,
,,,b3,0.934131737,1.239520958,0.829341317,0.718562874,0.02994012,0.02994012,0.092814371,0.167664671,NaN,0.416167665,,0.794482759,1.088275862,1.117241379,0.988965517,0.016551724,0.057931034,0.099310345,0.16137931,NaN,0.235862069
,,,b7,1.347826087,0.934782609,0.706521739,0.097826087,0.119565217,0.152173913,0.282608696,0.652173913,NaN,NaN,,1.413127413,0.845559846,0.741312741,0.173745174,0.185328185,0.416988417,0.312741313,0.474903475,0.069498069,NaN
,,,b8,1.350649351,0.837662338,0.818181818,0.714285714,NaN,NaN,0.5,0.675324675,2.38961039,0.909090909,,1.390163934,NaN,0.609836066,0.531147541,NaN,NaN,0.426229508,0.590163934,0.327868852,0.340983607
,,,b11,0.869090909,0.863636364,1.269090909,1.165454545,0.28,0.732727273,0.123636364,0.607272727,0.34,0.532727273,,0.868358446,0.906423473,1.225218081,1.301348136,0.52815226,0.801744647,0.330689929,0.768437748,0.3259318,0.616177637
,,,b12,1.554216867,0.546184739,0.895582329,0.321285141,NaN,NaN,0.457831325,0.895582329,1.088353414,1.044176707,,1.688405797,0.289855072,1.02173913,1.231884058,NaN,NaN,0.362318841,0.826086957,1.231884058,0.898550725
,,,c1,1.070422535,0.823943662,1.098591549,0.288732394,0.563380282,0.894366197,NaN,0.528169014,0.887323944,0.570422535,,1.148230088,0.789823009,1.061946903,0.46460177,0.497787611,0.345132743,NaN,0.252212389,0.623893805,0.212389381
,,,ge0,1.048780488,NaN,0.926829268,0.390243902,0.195121951,NaN,0.219512195,NaN,0.146341463,1.097560976,,0.718309859,0.802816901,1.478873239,NaN,0.211267606,0.908450704,0.190140845,NaN,0.464788732,0.507042254
,,,ge1,0.994219653,1.011560694,1,0.468208092,0.202312139,0.260115607,0.566473988,0.543352601,0.549132948,0.907514451,,1.261682243,1.239252336,0.499065421,0.08411215,0.05046729,0.347663551,0.370093458,0.370093458,0.375700935,0.392523364
